Name,Address,Rating,User Ratings Total,Latitude,Longitude,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,serves_vegetarian_food,url,Price_level,
秘魯料理 Fiesta Restaurant & Bar,111台灣台北市士林區承德路四段189號,4.1,873,25.0880484,121.5223679,+886 2 2882 3286,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=6184521980413489608,2,
番紅花城土耳其餐廳,10491台灣台北市中山區南京東路二段60號,4.3,4447,25.051831,121.529944,+886 2 2522 2939,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 22:00,,https://maps.google.com/?cid=17614708431082809416,2,
田園海鮮餐廳,10491台灣台北市中山區八德路二段174巷5號,4.2,2959,25.0459523,121.5382132,+886 2 2781 5137,星期一: 休息,"星期二: 11:30 – 13:30, 17:30 – 21:30","星期三: 11:30 – 13:30, 17:30 – 21:30","星期四: 11:30 – 13:30, 17:30 – 21:30","星期五: 11:30 – 13:30, 17:30 – 21:30","星期六: 11:30 – 13:30, 17:30 – 21:30","星期日: 11:30 – 13:30, 17:30 – 21:30",,https://maps.google.com/?cid=15866766472480678011,2,
Leone Restaurant & Bar,104台灣台北市中山區林森北路353巷20號,4.7,1071,25.0570039,121.5262258,+886 2 2581 3109,星期一: 17:00 – 00:00,星期二: 17:00 – 00:00,星期三: 17:00 – 00:00,星期四: 17:00 – 00:00,星期五: 17:00 – 02:00,星期六: 17:00 – 02:00,星期日: 17:00 – 00:00,,https://maps.google.com/?cid=3849962212163728550,,
天天利美食坊,108台灣台北市萬華區漢中街32巷1號,4.2,5679,25.0450164,121.5075197,+886 2 2375 6299,星期一: 休息,星期二: 10:30 – 22:30,星期三: 10:30 – 22:30,星期四: 10:30 – 22:30,星期五: 10:30 – 22:30,星期六: 10:30 – 22:30,星期日: 10:30 – 22:30,,https://maps.google.com/?cid=5597686872059367178,1,
"馬友友印度清真餐廳 Mayur Indian Kitchen, Halal Restaurant (MIK-8, Zhongxiao E.rd)","台北市大安區忠孝東路四段146巷1號2樓 2F, No. 1, Ln, No. 146忠孝東路四段大安區台北市台灣 106",4.7,1777,25.0413076,121.5497081,+886 2 2711 2067,"星期一: 11:30 – 14:30, 17:00 – 23:00","星期二: 11:30 – 14:30, 17:00 – 23:00","星期三: 11:30 – 14:30, 17:00 – 23:00","星期四: 11:30 – 14:30, 17:00 – 23:00","星期五: 11:30 – 14:30, 17:00 – 23:00","星期六: 11:30 – 15:00, 17:00 – 23:00","星期日: 11:30 – 15:00, 17:00 – 23:00",TRUE,https://maps.google.com/?cid=10488701498776861036,,
Alma Spanish Restaurant,106台灣台北市大安區東豐街11號,4.4,467,25.0361501,121.5444388,+886 972 336 386,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 22:00","星期三: 11:30 – 14:00, 17:30 – 22:00","星期四: 11:30 – 14:00, 17:30 – 22:00","星期五: 11:30 – 14:00, 17:30 – 22:00","星期六: 11:30 – 14:00, 17:30 – 22:00","星期日: 11:30 – 14:00, 17:30 – 22:00",,https://maps.google.com/?cid=4449827688503207614,,
馬友友印度廚房 - 大直 Mayur Indian Kitchen restaurant Dazhi (MiK-hi5),104台灣台北市中山區北安路630巷8號,4.6,1245,25.0826568,121.5496831,+886 2 2533 0698,星期一: 休息,"星期二: 11:30 – 15:00, 17:00 – 21:30","星期三: 11:30 – 15:00, 16:30 – 21:30","星期四: 11:30 – 15:00, 16:30 – 21:30","星期五: 11:30 – 15:00, 16:30 – 21:30","星期六: 11:30 – 15:00, 16:30 – 21:30","星期日: 11:30 – 15:00, 16:30 – 21:30",TRUE,https://maps.google.com/?cid=13759362224983939408,2,
スシロー壽司郎 台北中華路店,100台灣台北市中正區中華路一段41號1樓,4.2,5925,25.0449302,121.5094773,+886 2 2361 2306,星期一: 11:00 – 22:30,星期二: 11:00 – 22:30,星期三: 11:00 – 22:30,星期四: 11:00 – 22:30,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:30,,https://maps.google.com/?cid=17475472368453978626,2,
TAJ 泰姬印度餐廳 (TAJ Indian Restaurant),106台灣台北市大安區市民大道四段48巷1號,4.6,2662,25.0447362,121.5458423,+886 2 8773 0175,"星期一: 11:30 – 14:30, 17:30 – 22:00",星期二: 休息,"星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",TRUE,https://maps.google.com/?cid=10607116148556621781,2,
Malavida,106台灣台北市大安區光復南路280巷48號106079,4.5,467,25.0399655,121.5552257,+886 2 8773 9123,"星期一: 12:00 – 14:00, 18:00 – 22:00",星期二: 休息,"星期三: 12:00 – 14:00, 18:00 – 22:00","星期四: 12:00 – 14:00, 18:00 – 22:00","星期五: 12:00 – 14:00, 18:00 – 22:00","星期六: 12:00 – 14:00, 18:00 – 22:00","星期日: 12:00 – 14:00, 18:00 – 22:00",,https://maps.google.com/?cid=11367770302679363421,,
老朋友小酌熱炒,106台灣台北市大安區安和路二段36號1F,4.7,1909,25.0315441,121.5522477,+886 2 2325 2656,星期一: 17:00 – 00:00,星期二: 17:00 – 00:00,星期三: 17:00 – 00:00,星期四: 17:00 – 00:00,星期五: 17:00 – 00:00,星期六: 17:00 – 00:00,星期日: 17:00 – 00:00,FALSE,https://maps.google.com/?cid=18042055552861854600,2,
龍都酒樓,10491台灣台北市中山區中山北路一段105巷18-1號,4.2,6826,25.0503539,121.5244483,+886 2 2563 9293,"星期一: 11:30 – 14:30, 17:30 – 21:30","星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:20 – 12:50, 13:10 – 14:30, 17:30 – 19:10, 19:30 – 21:30","星期日: 11:20 – 12:50, 13:10 – 14:30, 17:30 – 19:10, 19:30 – 21:30",,https://maps.google.com/?cid=3858098876205658435,3,
喆園餐廳,104台灣台北市中山區建國北路一段80號,4.4,746,25.049464,121.5362676,+886 2 2506 6118,"星期一: 11:30 – 14:30, 17:30 – 22:00","星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",,https://maps.google.com/?cid=9700170831001205117,3,
The Adlon Restaurant & Bar,"1F, No. 100安和路二段大安區台北市台灣 106",4.1,41,25.0285007,121.5499703,+886 2 2325 4433,星期一: 11:00 – 02:00,星期二: 11:00 – 02:00,星期三: 11:00 – 02:00,星期四: 11:00 – 02:00,星期五: 11:00 – 02:00,星期六: 09:00 – 02:00,星期日: 09:00 – 02:00,,https://maps.google.com/?cid=6031725988267021854,,
特奥蒂瓦坎,106台灣台北市大安區安和路一段21巷9號,4,960,25.0395286,121.5504677,+886 2 2708 1141,星期一: 11:30 – 21:30,星期二: 11:30 – 21:30,星期三: 11:30 – 21:30,星期四: 11:30 – 21:30,星期五: 11:30 – 23:00,星期六: 11:30 – 23:00,星期日: 11:30 – 22:00,TRUE,https://maps.google.com/?cid=4793534583044569807,2,
坦都餐廳有限公司,10491台灣台北市中山區合江街73巷10號,4.7,1425,25.0586505,121.5400965,+886 2 2509 9853,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 21:30","星期三: 11:30 – 14:00, 17:30 – 21:30","星期四: 11:30 – 14:00, 17:30 – 21:30","星期五: 11:30 – 14:00, 17:30 – 21:30","星期六: 11:30 – 14:00, 17:30 – 21:30","星期日: 11:30 – 14:00, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=4672681163749205917,,
Gustoso Italian Restaurant,10685台灣台北市大安區敦化南路1段331號2樓,4.2,393,25.034039,121.5492699,+886 2 7726 9099,星期一: 06:30 – 22:00,星期二: 06:30 – 22:00,星期三: 06:30 – 22:00,星期四: 06:30 – 22:00,星期五: 06:30 – 22:00,星期六: 06:30 – 22:00,星期日: 06:30 – 22:00,,https://maps.google.com/?cid=12935769464317724726,,
哦耶！旁遮普印度餐廳,106台灣台北市大安區延吉街121號,4.9,5305,25.0427409,121.5542369,+886 2 2775 2065,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",,https://maps.google.com/?cid=497952784753788254,2,
ULV Restaurant and Bar,10691台灣台北市大安區敦化南路一段160巷18號一樓,4.5,426,25.0434408,121.5476453,+886 2 8771 0828,星期一: 休息,"星期二: 12:00 – 14:30, 18:00 – 22:00","星期三: 12:00 – 14:30, 18:00 – 22:00","星期四: 12:00 – 14:30, 18:00 – 22:00","星期五: 12:00 – 14:30, 18:00 – 22:00","星期六: 12:00 – 14:30, 18:00 – 22:00","星期日: 12:00 – 14:30, 18:00 – 22:00",,https://maps.google.com/?cid=15617989313500541572,,
Restaurant Page 頁小館,10463台灣台北市中山區北安路595巷20弄4號1樓,4.6,1569,25.08184,121.547774,+886 2 2532 8003,"星期一: 11:30 – 14:30, 17:30 – 21:00","星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=15360146453359379430,2,
スシロー壽司郎 台北館前路店,100台灣台北市中正區館前路8號2樓,4.1,6692,25.0458267,121.5147169,+886 2 2361 2638,星期一: 11:00 – 22:30,星期二: 11:00 – 22:30,星期三: 11:00 – 22:30,星期四: 11:00 – 22:30,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:30,,https://maps.google.com/?cid=7468931488262845109,2,
月之義大利餐廳,106台灣台北市大安區敦化南路二段265巷3號,4.4,900,25.0254867,121.5494205,+886 2 2733 9635,"星期一: 11:30 – 14:40, 17:45 – 22:00","星期二: 11:30 – 14:40, 17:45 – 22:00","星期三: 11:30 – 14:40, 17:45 – 22:00","星期四: 11:30 – 14:40, 17:45 – 22:00","星期五: 11:30 – 14:40, 17:45 – 22:00","星期六: 11:30 – 14:40, 17:45 – 22:00","星期日: 11:30 – 14:40, 17:45 – 22:00",TRUE,https://maps.google.com/?cid=1589845464812277502,2,
圓山大飯店-金龍餐廳,10491台灣台北市中山區中山北路四段1號,4.3,1489,25.0791209,121.5269322,+886 2 2886 1818,"星期一: 11:30 – 14:30, 18:00 – 22:00","星期二: 11:30 – 14:30, 18:00 – 22:00","星期三: 11:30 – 14:30, 18:00 – 22:00","星期四: 11:30 – 14:30, 18:00 – 22:00","星期五: 11:30 – 14:30, 18:00 – 22:00","星期六: 07:30 – 14:30, 18:00 – 22:00","星期日: 07:30 – 14:30, 18:00 – 22:00",,https://maps.google.com/?cid=17737925072873533850,3,
Halal Restaurant Kendedes,"No, No. 4光華路22巷蘆洲區新北市台灣 247",4.9,16,25.0836763,121.4694466,,星期一: 24 小時營業,星期二: 24 小時營業,星期三: 24 小時營業,星期四: 24 小時營業,星期五: 24 小時營業,星期六: 24 小時營業,星期日: 24 小時營業,,https://maps.google.com/?cid=11777796179480448852,,
籌學費餐廳,110台灣台北市信義區光復南路417巷37號,4.5,488,25.0369568,121.557991,+886 2 2345 1398,星期一: 休息,星期二: 17:30 – 00:00,星期三: 17:30 – 00:00,星期四: 17:30 – 00:00,星期五: 17:30 – 01:00,星期六: 17:30 – 01:00,星期日: 12:00 – 20:00,,https://maps.google.com/?cid=1140287619445676510,2,
Lulu Restaurant,105台灣台北市松山區民生東路三段113巷9號,4.3,1348,25.0585624,121.5462619,+886 2 2713 2250,星期一: 11:30 – 22:00,星期二: 11:30 – 22:00,星期三: 11:30 – 22:00,星期四: 11:30 – 22:00,星期五: 11:30 – 22:00,星期六: 11:30 – 22:00,星期日: 11:30 – 22:00,,https://maps.google.com/?cid=14968468533031037856,2,
花娘小館,105台灣台北市松山区敦化北路165巷9號1樓,4.3,679,25.0548637,121.5505647,+886 2 2718 4469,"星期一: 11:30 – 14:30, 17:30 – 22:00","星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",,https://maps.google.com/?cid=17779556962795561145,2,
山海樓,100台灣台北市中正區仁愛路二段94號,4.1,1631,25.0379808,121.5314068,+886 2 2351 3345,"星期一: 12:00 – 14:30, 18:00 – 22:00","星期二: 12:00 – 14:30, 18:00 – 22:00","星期三: 12:00 – 14:30, 18:00 – 22:00","星期四: 12:00 – 14:30, 18:00 – 22:00","星期五: 12:00 – 14:30, 18:00 – 22:00","星期六: 12:00 – 14:30, 18:00 – 22:00","星期日: 12:00 – 14:30, 18:00 – 22:00",,https://maps.google.com/?cid=12882637900817705984,4,
Casanova Osteria & Bar,"1樓, No. 12號忠孝東路四段170巷6弄大安區台北市台灣 10688",4.8,249,25.0408028,121.5502044,+886 2 2771 2680,星期一: 休息,星期二: 休息,星期三: 17:30 – 23:00,星期四: 17:30 – 23:00,星期五: 17:30 – 23:00,星期六: 17:30 – 23:00,星期日: 17:30 – 23:00,TRUE,https://maps.google.com/?cid=16876390437707843788,,
くら寿司 藏壽司 台北館前店,100台灣台北市中正區館前路12號5樓,4.2,9170,25.0456068,121.5147159,+886 2 2331 6029,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 10:30 – 22:00,星期日: 10:30 – 22:00,,https://maps.google.com/?cid=14425020235779465369,2,
Orchid Restaurant 蘭,106台灣台北市大安區安和路二段83號,4.4,1217,25.0300871,121.5521719,+886 2 2378 3333,星期一: 休息,星期二: 休息,"星期三: 11:30 – 14:30, 18:00 – 22:00","星期四: 11:30 – 14:30, 18:00 – 22:00","星期五: 11:30 – 14:30, 18:00 – 22:00","星期六: 11:30 – 14:30, 18:00 – 22:00","星期日: 11:30 – 14:30, 18:00 – 22:00",,https://maps.google.com/?cid=8521452223721840553,3,
"馬友友印度蔬食餐廳 Mayur Indian Kitchen Vegetarian restaurant, MIK-3",100台灣台北市中正區濟南路二段64-2號,4.5,2747,25.0401204,121.5323807,+886 2 2321 2261,"星期一: 11:00 – 14:30, 16:00 – 21:30",星期二: 休息,"星期三: 11:00 – 14:30, 16:00 – 21:30","星期四: 11:00 – 14:30, 16:00 – 21:30","星期五: 11:00 – 14:30, 16:00 – 22:00","星期六: 11:00 – 15:00, 16:30 – 22:00","星期日: 11:00 – 15:00, 16:30 – 21:30",TRUE,https://maps.google.com/?cid=14955363474505136147,2,
大正浪漫日本料理,10491台灣台北市中山區復興南路一段30巷1號,4.6,259,25.046382,121.543488,+886 2 2772 0680,"星期一: 12:00 – 13:30, 18:00 – 21:30","星期二: 12:00 – 13:30, 18:00 – 21:30","星期三: 12:00 – 13:30, 18:00 – 21:30","星期四: 12:00 – 13:30, 18:00 – 21:30","星期五: 12:00 – 13:30, 18:00 – 21:30","星期六: 12:00 – 13:30, 18:00 – 21:30",星期日: 休息,TRUE,https://maps.google.com/?cid=2434551782548517715,,
非常泰 - 復興店,105台灣台北市松山區復興北路319號,4.2,1127,25.0591667,121.5444444,+886 2 2546 6745,"星期一: 11:30 – 14:30, 17:30 – 02:00","星期二: 11:30 – 14:30, 17:30 – 02:00","星期三: 11:30 – 14:30, 17:30 – 02:00","星期四: 11:30 – 14:30, 17:30 – 02:00","星期五: 11:30 – 14:30, 17:30 – 02:00","星期六: 11:30 – 15:00, 17:30 – 02:00","星期日: 11:30 – 15:00, 17:30 – 02:00",,https://maps.google.com/?cid=4635337713933245270,2,
映港式茶餐廳,108台灣台北市萬華區西寧南路76號2樓,4.2,684,25.0428932,121.5058551,+886 2 2331 7875,星期一: 12:00 – 21:30,星期二: 12:00 – 21:30,星期三: 12:00 – 21:30,星期四: 12:00 – 21:30,星期五: 12:00 – 21:30,星期六: 12:00 – 21:30,星期日: 12:00 – 21:30,,https://maps.google.com/?cid=18248974024708629748,2,
爭鮮迴轉壽司-林森店,10491台灣台北市中山區中山北路二段45巷35號1F,4,3388,25.0544897,121.524814,+886 2 2521 5117,星期一: 11:00 – 05:30,星期二: 11:00 – 05:30,星期三: 11:00 – 05:30,星期四: 11:00 – 05:30,星期五: 11:00 – 05:30,星期六: 11:00 – 05:30,星期日: 11:00 – 05:30,,https://maps.google.com/?cid=18417162595638962660,1,
饗食天堂 台北京站店,103台灣台北市大同區承德路一段1號京站時尚廣場4樓,4,4701,25.049308,121.5171935,+886 2 6617 1168,"星期一: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期二: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期三: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期四: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期五: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期六: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期日: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=3070305487468032646,3,
星期五美式餐廳（美麗華）,10491台灣台北市中山區敬業三路22號2樓,4.2,2153,25.0836081,121.5572275,+886 2 2175 3358,星期一: 11:00 – 00:00,星期二: 11:00 – 00:00,星期三: 11:00 – 00:00,星期四: 11:00 – 00:00,星期五: 11:00 – 00:00,星期六: 11:00 – 00:00,星期日: 11:00 – 00:00,,https://maps.google.com/?cid=6242177921935044667,,
大亨餐酒館 Rich Restaurant,104台灣台北市中山區天津街63 號1 樓,4.8,598,25.0516192,121.5235351,+886 2 2542 3388,"星期一: 11:30 – 14:00, 17:30 – 22:00","星期二: 11:30 – 14:00, 17:30 – 22:00","星期三: 11:30 – 14:00, 17:30 – 22:00","星期四: 11:30 – 14:00, 17:30 – 22:00","星期五: 11:30 – 14:00, 17:30 – 22:00","星期六: 11:30 – 14:00, 17:30 – 22:00",星期日: 休息,TRUE,https://maps.google.com/?cid=12110323172369262295,,
小林海產,106台灣台北市大安區光復南路574-1號,4.2,2082,25.0340425,121.5571779,+886 2 2325 4930,星期一: 17:00 – 01:00,星期二: 17:00 – 01:00,星期三: 17:00 – 01:00,星期四: 17:00 – 01:00,星期五: 17:00 – 01:00,星期六: 17:00 – 01:00,星期日: 休息,FALSE,https://maps.google.com/?cid=4730455200188102284,2,
B612 Restaurant & Bar - B612餐酒館,106台灣台北市大安區敦化南路1段157號,4.7,621,25.0436496,121.5493018,+886 2 2777 5177,星期一: 休息,星期二: 休息,星期三: 18:00 – 00:00,星期四: 18:00 – 00:00,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 18:00 – 00:00,TRUE,https://maps.google.com/?cid=6982880252533316140,2,
CLOSET衣櫥餐酒館 Restaurant & bar Bistro 異國料理 東區美食,106台灣台北市大安區忠孝東路四段101巷15號,4.3,1044,25.0425138,121.5481451,+886 2 2731 7919,星期一: 18:00 – 02:00,星期二: 18:00 – 02:00,星期三: 18:00 – 02:00,星期四: 18:00 – 02:00,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 18:00 – 02:00,,https://maps.google.com/?cid=11317207201845607040,3,
紅舍私房菜,105台灣台北市松山區民生東路三段130巷5弄18號,4.4,511,25.0569888,121.5470483,+886 2 2545 5831,"星期一: 11:30 – 14:00, 17:30 – 21:30","星期二: 11:30 – 14:00, 17:30 – 21:30","星期三: 11:30 – 14:00, 17:30 – 21:30","星期四: 11:30 – 14:00, 17:30 – 21:30","星期五: 11:30 – 14:00, 17:30 – 21:30","星期六: 11:30 – 14:00, 17:30 – 21:30",星期日: 休息,TRUE,https://maps.google.com/?cid=8103019647470540320,2,
亞瑟蘭印度餐廳Family Indian Restaurant,111台灣台北市士林區德行西路114號,4.7,558,25.1037911,121.5206699,+886 2 2834 3303,"星期一: 11:30 – 14:30, 17:00 – 21:30",星期二: 休息,"星期三: 11:30 – 14:30, 17:00 – 21:30","星期四: 11:30 – 14:30, 17:00 – 21:30","星期五: 11:30 – 14:30, 17:00 – 21:30","星期六: 11:30 – 14:30, 17:00 – 21:30","星期日: 11:30 – 14:30, 17:00 – 21:30",,https://maps.google.com/?cid=14437019977575963875,2,
V&O BAR AND KITCHEN東地中海料理&酒吧,104台灣台北市中山區中山北路二段27巷1號,4.8,178,25.0532509,121.5231554,+886 2 2531 0595,星期一: 休息,星期二: 18:30 – 00:00,星期三: 18:30 – 00:00,星期四: 18:30 – 00:00,星期五: 18:30 – 02:00,星期六: 18:30 – 02:00,星期日: 休息,TRUE,https://maps.google.com/?cid=5495430239914503857,,
Namaste Indian Restaurant,106台灣台北市大安區安和路二段180號,4.4,382,25.0251882,121.550026,+886 2 2736 3733,"星期一: 11:00 – 14:30, 17:00 – 21:30","星期二: 11:00 – 14:30, 17:00 – 21:30","星期三: 11:00 – 14:30, 17:00 – 21:30","星期四: 11:00 – 14:30, 17:00 – 21:30","星期五: 11:00 – 14:30, 17:00 – 21:30","星期六: 11:00 – 14:30, 17:00 – 21:30","星期日: 11:00 – 14:30, 17:00 – 21:30",,https://maps.google.com/?cid=13556870216445173565,2,
