,Name,Address,Rating,Rating_str,User Ratings Total,Latitude,Longitude,distance(km),distance_group,Phone,price,rating_trip,type,user_number_trip,users,rating_score,popularity,distance_score
30,鼎泰豐 板橋店,220台灣新北市板橋區新站路28號b1,4.5,4.5,5797,25.0135467,121.4667508,11.43004578,3,+886 2 8951 2222,$300-750,4.5,中式料理,68,5865,90,99,70
31,八方雲集鍋貼水餃專賣店,231台灣新北市新店區安祥路95號,3.5,3.5,181,24.9622364,121.4800872,10.1204923,3,+886 2 2200 8006,$1-300,0,中式料理,0,181,70,39,70
32,竹子湖 山中園 野菜餐廳,112台灣台北市北投區竹子湖路33-7號,4,4,942,25.172774,121.532946,21.04968541,4,+886 2 2861 8211,,5,中式料理,1,943,80,79,30
33,熱海大飯店-熱海廳,112台灣台北市北投區光明路258號,3.5,3.5,54,25.1367522,121.509396,17.90689306,4,+886 2 2891 5161,,3.5,中式料理,4,58,70,17,50
34,運鈍根湯-陽明山店 (預約制),111台灣台北市士林區平菁街18號,4.4,4.4,138,25.1399772,121.57087,16.95014277,4,+886 2 2862 1588,,4.5,中式料理,3,141,88,33,50
35,御禾宴餐館 - 家傳料理 亞洲料理 馬來西亞料理 土鷄料理 家庭聚餐 甜點 咖啡 複合式餐飲 景觀餐廳,111台灣台北市士林區平菁街9號,4.3,4.3,135,25.1410003,121.568509,17.07340819,4,+886 2 2861 6088,$300-750,5,中式料理,3,138,86,33,50
36,橘餐廳,111台灣台北市士林區平菁街93巷26號,2,2,1,25.138338,121.578295,16.75933373,4,+886 2 2861 6228,,4,中式料理,1,2,60,0,50
37,山農小吃,111台灣台北市士林區至善路三段336巷61之一號,4.3,4.3,182,25.1357776,121.5945159,16.57324658,4,+886 2 2841 2429,,0,中式料理,0,182,86,39,50
38,絹絲谷 Silk Valley,111台灣台北市士林區永公路500巷46號,3.9,3.9,225,25.1360397,121.5711743,16.51153961,4,+886 2 2862 6217,,4.5,中式料理,4,229,78,45,50
39,WIRED CHAYA茶屋 內湖店,114台灣台北市內湖區成功路四段188號,4,4,776,25.0840654,121.5946506,10.87822446,3,+886 2 7747 2978,$300-750,4.5,中式料理,47,823,80,77,70
40,巷上食璞川菜客家菜,114台灣台北市內湖區瑞光路513巷22弄15號,4.2,4.2,1077,25.0801738,121.5686273,10.32136118,3,+886 2 8752 5382,$300-750,4.5,中式料理,6,1083,84,82,70
41,山鍋物（團緣涮涮屋）,"11460台灣台北市內湖區成功路四段28號3樓, No",4.2,4.2,630,25.08154,121.591469,10.5509668,3,+886 2 8792 2392,$300-750,3.5,中式料理,4,634,83,71,70
42,好好食房 Soup Up- 西湖店｜內湖雞湯專賣店 ｜內湖美食｜台北雞湯｜西湖捷運站,114台灣台北市內湖區瑞光路583巷22號,4,4,1044,25.0804463,121.5681559,10.35532217,3,+886 2 8751 5521,$300-750,4.5,中式料理,6,1050,80,81,70
43,龍都酒樓 內湖店,114台灣台北市內湖區舊宗路一段58號,4,4,4292,25.0584684,121.5798233,7.884354497,2,+886 2 2796 3623,$750-1350,4,中式料理,68,4360,80,98,80
44,香港大排檔,105台灣台北市松山區三民路113巷22號,3.8,3.8,1916,25.0582052,121.5619916,7.983087541,2,+886 2 2767 0161,$300-750,4,中式料理,10,1926,76,92,80
45,添好運 (新光三越A8),"3F, No. 12號松高路信義區台北市台灣 110",3.7,3.7,2732,25.0382241,121.5667909,5.710725917,1,+886 2 2722 9358,$300-750,4,中式料理,81,2813,74,95,90
46,八方雲集鍋貼水餃專賣店（北醫）,110台灣台北市信義區吳興街231號,3.5,3.5,331,25.0276222,121.5633538,4.640594889,1,+886 2 2758 4920,$1-300,0,中式料理,0,331,70,55,90
47,永和豆漿大王(木新店),116台灣台北市文山區木新路二段293號,3.9,3.9,584,24.982698,121.565537,1.233891221,1,+886 2 2939 1344,$1-300,0,中式料理,0,584,78,69,100
48,美加茶園Mei-Jia Tea Garden/景觀餐廳/寵物友善(貓空站出站步行7分鐘，勿選步行導航，選汽機車路線),116台灣台北市文山區指南路三段38巷19號,4.2,4.2,468,24.971146,121.5877162,2.152916872,1,+886 2 2938 6277,$300-750,4,中式料理,13,481,83,64,100
49,阿義師的大茶壺茶餐廳,116台灣台北市文山區指南路三段38巷37之1號1樓,4.1,4.1,2229,24.968691,121.591771,2.607833031,1,+886 2 2939 5615,$300-750,4,中式料理,42,2271,81,94,100
50,貓空大觀園,116台灣台北市文山區指南路三段38巷22之1號,3.9,3.9,693,24.9672222,121.5872222,2.512869436,1,+886 2 2939 2198,$300-750,4.5,中式料理,4,697,78,73,100
51,紅木屋,116台灣台北市文山區指南路三段38巷33號,4.2,4.2,940,24.9671659,121.5907726,2.691495298,1,+886 2 2939 9706,$300-750,4,中式料理,43,983,83,80,100
52,大頭土雞城,116台灣台北市文山區指南路三段38巷18-2號,4,4,190,24.9686652,121.5877448,2.393474752,1,+886 2 2938 1943,,3.5,中式料理,3,193,79,41,100
53,蜜廚中式料理,231台灣新北市新店區新烏路三段90號,4.4,4.4,336,24.903831,121.5532951,9.607004933,3,+886 2 2666 3520,$300-750,0,中式料理,0,336,88,55,70
54,陽明山平菁街橘咖啡,111台灣台北市士林區平菁街93巷26號,4.3,4.3,301,25.138338,121.578295,16.75933373,4,+886 2 2861 6228,$300-750,4,中式料理,1,302,85,52,50
55,新葡苑 內湖店,"2樓, No. 188號成功路四段內湖區台北市台灣 114",3.4,3.4,437,25.084097,121.5944887,10.87895995,3,+886 2 8792 1393,,2.5,中式料理,2,439,67,62,70
56,食初靡中式料理,114台灣台北市內湖區港墘路15號,4.3,4.3,249,25.0830048,121.5783273,10.60717748,3,+886 2 2657 2626,$300-750,0,中式料理,0,249,86,47,70
57,滿億牛肉麵,110台灣台北市信義區虎林街121巷4號1樓,4.1,4.1,47,25.0402307,121.577125,5.849656623,1,+886 2 2345 3970,,0,中式料理,0,47,82,14,90
58,四川飯館,116台灣台北市文山區指南路二段65號,4.2,4.2,532,24.9879307,121.5747833,0.17684727,1,+886 2 2939 4193,,4,中式料理,10,542,83,67,100
59,江記水盆羊肉,116台灣台北市文山區指南路二段45巷12號,3.8,3.8,1350,24.9888028,121.5745782,0.23418465,1,+886 2 8661 2882,$300-750,4,中式料理,1,1351,76,86,100
60,永康街左撇子,116台灣台北市文山區指南路二段119巷10號,4,4,314,24.9878874,121.5766012,0.030569775,1,+886 2 2936 9901,$1-300,0,中式料理,0,314,80,53,100
61,口福豆漿店,116台灣台北市文山區萬壽路21號,4.1,4.1,159,24.9882339,121.5761458,0.0766577,1,+886 2 2937 9327,$1-300,0,中式料理,0,159,82,36,100
62,圓滿川湘菜海鮮,110台灣台北市信義區福德街225號,3.9,3.9,46,25.038507,121.585102,5.723585729,1,+886 2 2727 0939,,5,中式料理,2,48,78,14,90
63,沙巴風味鍋,114台灣台北市內湖區東湖路119巷50弄19號,4.2,4.2,983,25.0695377,121.6176552,10.0073373,3,+886 2 2632 2360,$1-300,0,中式料理,0,983,84,80,70
64,四海遊龍鍋貼專賣店,115台灣台北市南港區舊莊街一段183號,3.9,3.9,230,25.039141,121.6216743,7.316256812,2,+886 2 2788 3752,$1-300,0,中式料理,0,230,78,45,80
65,餡老滿,115台灣台北市南港區經貿二路66號二樓,3.8,3.8,1645,25.0573875,121.6157681,8.7076042,2,+886 2 2789 3423,$300-750,4,中式料理,61,1706,76,90,80
66,1010湘 (南港中信店),115台灣台北市南港區經貿二路186-1號,4.1,4.1,830,25.0585362,121.6149812,8.786303365,2,+886 2 2782 0866,$300-750,4.5,中式料理,74,904,82,79,80
67,開飯川食堂 南港店,115台灣台北市南港區經貿二路186-1號中國信託金融園區C棟3樓,4.2,4.2,1261,25.0585864,121.6148449,8.785265264,2,+886 2 2786 5778,$300-750,4.5,中式料理,23,1284,84,85,80
68,餃沓食地（鍋貼水餃煎餃）,22342台灣新北市石碇區石碇東街91號,4.6,4.6,76,24.9909492,121.6597637,8.399356649,2,+886 2 2663 1991,,0,中式料理,0,76,92,21,80
69,八方雲集鍋貼水餃專賣店,221台灣新北市汐止區建成路74號,3.1,3.1,202,25.0732834,121.6629844,12.90864311,4,+886 2 8692 3700,$1-300,0,中式料理,0,202,62,42,60
70,八方雲集鍋貼水餃專賣店-深坑文化店,222台灣新北市深坑區埔新街66號,2.9,2.9,182,25.0025185,121.6199763,4.683524172,1,+886 2 2664 4461,$1-300,0,中式料理,0,182,58,39,90
71,同安樂,103台灣台北市大同區迪化街一段242號1 樓,4.3,4.3,900,25.0600194,121.5093119,10.51829227,3,+886 2 2557 6939,,4,中式料理,48,948,85,79,70
72,飄香牛肉麵,103台灣台北市大同區寧夏路12號1樓,4.3,4.3,817,25.0546535,121.5147485,9.709228894,3,+886 2 2555 7638,,4,中式料理,25,842,85,77,70
73,川揚郁坊小館,100台灣台北市中正區延平南路163巷2號,4.2,4.2,1899,25.0350403,121.5079264,8.692045612,2,+886 2 2331 1117,,4,中式料理,18,1917,83,92,80
74,維記茶餐廳,108台灣台北市萬華區成都路27巷19號,3.5,3.5,1824,25.043175,121.5069096,9.345104104,3,+886 2 2382 6388,,4.5,中式料理,18,1842,70,91,70
75,廣州餐廳,100台灣台北市中正區中華路二段427號,4.2,4.2,481,25.025366,121.5089529,7.996916017,2,+886 2 2305 5039,,4.5,中式料理,2,483,84,64,80
76,來來水餃店,100台灣台北市中正區中華路二段309巷9號,3.5,3.5,3743,25.028754,121.5057461,8.470957979,2,+886 2 2305 1561,,4,中式料理,33,3776,70,97,80
77,八方雲集鍋貼水餃專賣店-新店安康店,231台灣新北市新店區安成街1之1號1 樓,3.3,3.3,438,24.960162,121.5108007,7.293127769,2,+886 2 8666 8440,,0,中式料理,0,438,66,62,80
78,丰明殿 第一涮涮鍋殿堂-明德殿,112台灣台北市北投區東華街一段362號1樓,4.5,4.5,2641,25.1097342,121.5192482,14.75210889,4,+886 2 2823 9988,,3,中式料理,13,2654,89,95,60
79,左爺爺的港式茶餐廳芝山店,11158台灣台北市士林區福華路144號芝山站2號出口右轉，步行只要2分鐘,4,4,994,25.1033285,121.5227638,13.9581946,4,+886 2 2834 7721,,0,中式料理,0,994,80,80,60
80,牛小妹牛肉麵,111台灣台北市士林區華齡街88-1號,3.9,3.9,422,25.084815,121.5194699,12.23957247,4,+886 2 2881 5861,,5,中式料理,4,426,78,61,60
81,金品茶樓,104台灣台北市中山區長春路16號,4.1,4.1,2432,25.0548016,121.5236296,9.174907237,3,+886 2 2511 7506,,4,中式料理,496,2928,81,96,70
82,小魏川菜餐廳,100台灣台北市中正區公園路13號3樓,3.9,3.9,1993,25.0454867,121.5174126,8.766312601,2,+886 2 2371 8427,,4,中式料理,119,2112,78,93,80
83,樺慶川菜餐廳,10491台灣台北市中山區南京西路12巷5號,3.8,3.8,251,25.051931,121.521492,9.047344477,2,+886 2 2561 6549,,4,中式料理,13,264,76,49,70
84,古亭讚食堂 Guting Like Restaurant,100台灣台北市中正區羅斯福路二段66巷11號,4.2,4.2,595,25.0273326,121.5213948,7.09473315,2,+886 2 2321 3232,,3.5,中式料理,6,601,83,69,80
85,台北真北平餐廳,100台灣台北市中正區寧波東街1號,3.8,3.8,1710,25.031899,121.519394,7.573345825,2,+886 2 2396 9611,,4,中式料理,20,1730,76,90,80
86,廖家牛肉麵,106台灣台北市大安區金華街98號,4.1,4.1,2352,25.030235,121.525465,6.992935209,2,+886 2 2351 7065,,4.5,中式料理,40,2392,82,94,80
87,Lili,111台灣台北市士林區中山北路六段760號,4,4,227,25.115865,121.528454,15.0586406,4,+886 2 2876 0798,,4,中式料理,18,245,80,47,50
88,茉莉漢堡 芝山店,111台灣台北市士林區至誠路二段47號,3.9,3.9,511,25.1014497,121.5284546,13.55067695,4,+886 2 2837 7575,,4,中式料理,2,513,78,66,60
89,銀翼餐廳,106台灣台北市大安區金山南路二段18號2樓,3.8,3.8,2137,25.0333203,121.526975,7.122285799,2,+886 2 2341 7799,,4,中式料理,53,2190,76,93,80
90,小美好牛肉麵,100台灣台北市中正區杭州南路一段143巷39號,4.4,4.4,328,25.0356197,121.5272409,7.288574351,2,+886 2 2391 4936,,4.5,中式料理,2,330,88,55,80
91,香港鑫華茶餐廳,106台灣台北市大安區永康街48號,4.1,4.1,3276,25.0289406,121.5296174,6.590070421,2,+886 2 2391 2022,,4,中式料理,28,3304,81,96,80
92,台電勵進餐廳,106台灣台北市大安區和平東路一段75巷,4,4,3134,25.0278637,121.5248983,6.860274141,2,+886 2 2393 4780,,3.5,中式料理,23,3157,79,96,80
93,重順川菜餐廳,100台灣台北市中正區羅斯福路三段316巷8弄3-2號,4.2,4.2,1232,25.0156322,121.5325953,5.411000513,1,+886 2 2368 4549,,4,中式料理,21,1253,83,85,90
94,五花馬水餃館 台北天母門市,111台灣台北市士林區天母西路60號,3.9,3.9,1379,25.1185176,121.5243257,15.47448684,4,+886 2 2876 2013,,4,中式料理,26,1405,78,87,50
95,老地方牛肉麵,10491台灣台北市中山區興安街51-8號,4.1,4.1,493,25.056185,121.5413954,8.40420741,2,+886 2 2517 9528,,0,中式料理,0,493,82,65,80
96,大福利餐廳（開心素食）,116台灣台北市文山區興隆路一段167號,4.1,4.1,455,25.0014114,121.5427322,3.732943785,1,+886 2 2935 6298,,0,中式料理,0,455,82,63,90
97,順園小館,100台灣台北市中正區汀州路三段281號,4,4,2012,25.012306,121.535557,4.955829462,1,+886 2 2368 7432,,4,中式料理,24,2036,80,92,90
98,八方雲集鍋貼水餃專賣店,231台灣新北市新店區碧潭路17號,2.7,2.7,212,24.9560662,121.534416,5.505942918,1,+886 2 2212 6974,,0,中式料理,0,212,54,43,90
99,聚園餐廳,105台灣台北市松山區民生東路三段113巷25弄39號,4.1,4.1,920,25.0592288,121.547341,8.486791639,2,+886 2 2718 5477,,4.5,中式料理,4,924,82,79,80
100,玖五牛肉麵,106台灣台北市大安區東豐街5號,3.8,3.8,1171,25.0361353,121.5440027,6.310437036,1,+886 2 2755 0579,,4.5,中式料理,48,1219,76,85,80
101,牛有廖Beefull士林店,111台灣台北市士林區美德街16巷8號,4,4,739,25.0943704,121.5257114,12.92546959,4,+886 2 8861 3708,,3.5,中式料理,2,741,79,74,60
102,祥福餐廳,105台灣台北市松山區南京東路四段50號2樓,4,4,1846,25.0514538,121.5534312,7.468394886,2,+886 2 2579 8021,,4,中式料理,12,1858,80,91,80
103,波記茶餐廳,106台灣台北市大安區延吉街70巷8號,4.1,4.1,3853,25.0425619,121.5533901,6.537548324,2,+886 2 8773 1913,,4,中式料理,31,3884,81,97,80
104,福興園川菜餐廳,111台灣台北市士林區德行東路233-3號,4.1,4.1,473,25.1097108,121.533735,14.24250225,4,+886 2 2834 4459,,3.5,中式料理,3,476,81,64,60
105,好記川味牛肉麵,"之 1 號, No. 162合江街中山區台北市台灣 10491",4,4,121,25.060407,121.539127,8.926242559,2,+886 2 2502 1648,,5,中式料理,1,122,80,30,80
106,五花馬水餃館 台北龍江門市,10491台灣台北市中山區龍江路23號,3.7,3.7,946,25.0479015,121.5406233,7.615310518,2,+886 2 2721 5510,,4,中式料理,10,956,74,80,80
107,樂鍋鍋佰元小火鍋,111台灣台北市士林區光華路26巷3-2號號1F,4.2,4.2,28,25.1372434,121.5418667,16.99857051,4,+886 2 2862 1969,,0,中式料理,0,28,84,8,50
108,來佳海南雞飯,114台灣台北市內湖區內湖路一段285巷8弄3號,3.8,3.8,459,25.0826611,121.566016,10.62008381,3,+886 2 2797 5417,,3,中式料理,1,460,75,63,70
109,奇岩一號 萬豪店,10491台灣台北市中山區樂群二路199號2F,4.3,4.3,433,25.0804289,121.5592994,10.46375388,3,+886 2 8501 1380,,5,中式料理,92,525,88,66,70
110,尚月中華時尚料理,10491台灣台北市中山區松江路194巷4號,4.3,4.3,386,25.0570193,121.5325542,8.896634186,2,+886 2 2581 1869,$750-1350,0,中式料理,0,386,86,59,80
111,江浙天成樓,100台灣台北市中正區忠孝西路一段43號,3.8,3.8,43,25.0462501,121.5181923,8.775993357,2,+886 2 2312 0000,,0,中式料理,0,43,76,13,80
112,祥星記一鴨三吃,103台灣台北市大同區長安西路272號,4.2,4.2,570,25.0517069,121.5131709,9.565408677,3,+886 2 2559 1682,,0,中式料理,0,570,84,68,70
113,富宏牛肉麵,108台灣台北市萬華區洛陽街67-69號,4.2,4.2,16038,25.0476197,121.5077358,9.618637699,3,+886 2 2371 3028,$1-300,4,中式料理,10,16048,83,99,70
114,川畝園麵食館,103台灣台北市大同區承德路二段1巷31號,4.3,4.3,1359,25.053578,121.5189968,9.346500063,3,+886 2 2556 3800,$1-300,0,中式料理,0,1359,86,86,70
115,邊田庄,10491台灣台北市中山區松江路237號,4.2,4.2,1825,25.0589915,121.5335058,9.041135918,2,+886 2 2501 1068,$750-1350,4,中式料理,24,1849,83,91,70
116,台北晶華酒店- 蘭亭 Lan Ting,104台灣台北市中山區中山北路二段39巷3號,4.5,4.5,34,25.0541874,121.52424,9.083604927,3,+886 2 2522 8248,,0,中式料理,0,34,90,10,70
117,新葡苑餐廳 台北中山店,104台灣台北市中山區中山北路二段24-3號,4,4,926,25.0538991,121.5224502,9.163536509,3,+886 2 2568 2768,$300-750,3.5,中式料理,64,990,79,80,70
118,人和園餐廳,104台灣台北市中山區中山北路二段112號2樓,4.4,4.4,1630,25.0607259,121.5227606,9.766948038,3,+886 2 2568 2587,$300-750,0,中式料理,0,1630,88,89,70
119,玖尹-新派中式餐酒館,104台灣台北市中山區伊通街39號,4.6,4.6,774,25.0507092,121.5349513,8.169111039,2,+886 2 2508 2700,,4.5,中式料理,4,778,91,75,80
120,新胡同魚菜餐廳,10491台灣台北市中山區中山北路一段83巷13-3號,4.3,4.3,214,25.0500644,121.5241463,8.719875363,2,+886 2 2521 9958,$300-750,4,中式料理,7,221,85,44,80
121,稻香石磨腸粉-松江店,10491台灣台北市中山區松江路330巷36-3號,4.1,4.1,2125,25.0609043,121.531671,9.316587004,3,+886 972 229 309,$1-300,4,中式料理,2,2127,81,93,70
122,天香樓 Tien Hsiang Lo,"b1 No. 41號, 民權東路二段中山區台北市台灣 10491",4.5,4.5,1183,25.0628834,121.5299911,9.591194478,3,+886 2 2597 1234,$750-1350,0,中式料理,0,1183,90,84,70
123,王朝餐廳 - 凱撒大飯店,100台灣台北市中正區忠孝西路一段38號3樓,4,4,534,25.0462398,121.5163879,8.897911769,2,+886 2 2311 5150,$300-750,0,中式料理,0,534,80,67,80
124,勺勺客陝西餐館,100台灣台北市中正區杭州南路一段27號,4.2,4.2,2314,25.0420021,121.5264035,7.876880504,2,+886 2 2351 7148,$300-750,4.5,中式料理,6,2320,84,94,80
125,曾家豆漿,104台灣台北市中山區錦州街123號,4.2,4.2,1325,25.0604294,121.5288962,9.40984798,3,+886 2 2560 1927,$1-300,0,中式料理,0,1325,84,86,70
126,128中式速食店,241台灣新北市三重區重安街112號,3.5,3.5,2,25.0557082,121.4934361,11.28570321,3,+886 2 2977 9528,,0,中式料理,0,2,70,0,70
127,歐華軒-歐華酒店,10461台灣台北市中山區林森北路646號,4.7,4.7,65,25.0682288,121.525627,10.32500874,3,+886 2 2585 3258#300,,0,中式料理,0,65,94,19,70
128,餡老滿吉林店,10491台灣台北市中山區松江路90巷23號,3.9,3.9,716,25.0506088,121.5303547,8.406602035,2,+886 2 2567 2028,$300-750,0,中式料理,0,716,78,73,80
129,丫田廚房,103台灣台北市大同區重慶北路三段217號,4,4,335,25.0703802,121.5139366,11.15408849,3,+886 2 2585 2008,$300-750,0,中式料理,0,335,80,55,70
130,東方饌黔天下貴州主題餐廳,103台灣台北市大同區迪化街一段358之2號,4,4,374,25.0627876,121.5091814,10.76391977,3,+886 2 2557 7872,$750-1350,0,中式料理,0,374,80,58,70
131,頂園港式料理餐廳,103台灣台北市大同區承德路三段250號,4.2,4.2,424,25.0730793,121.5186449,11.1476684,3,+886 2 2592 5077,$300-750,0,中式料理,0,424,84,61,70
132,珍品小館,100台灣台北市中正區青島東路7之5號號,4.1,4.1,574,25.044244,121.5223591,8.330806998,2,+886 2 2393 4518,$300-750,4,中式料理,1,575,81,68,80
133,老爹 懷舊家常料理,104台灣台北市中山區錦州街154號,4.7,4.7,130,25.0602435,121.5293209,9.370288768,3,+886 2 2567 3138,$300-750,0,中式料理,0,130,94,31,70
134,極·黃燜雞米飯 寧夏店-大同麻辣美食|特色美食|雞米飯推薦|中式美食|推薦餐廳|必吃餐廳,103台灣台北市大同區重慶北路一段83巷28號,3.4,3.4,96,25.0527998,121.5152362,9.520008113,3,+886 2 2559 5056,,0,中式料理,0,96,68,25,70
135,敘香園,10491台灣台北市中山區南京東路二段63號,3.9,3.9,1203,25.0522811,121.530225,8.569218621,2,+886 2 2531 2322,$300-750,0,中式料理,0,1203,78,84,80
136,小吳牛肉麵,108台灣台北市萬華區洛陽街45-11號,4.2,4.2,3268,25.0476284,121.508326,9.576557249,3,+886 2 2371 3201,$1-300,0,中式料理,0,3268,84,96,70
137,松滿樓,106台灣台北市大安區濟南路三段26號,4.1,4.1,1347,25.040058,121.5349427,7.178476293,2,+886 2 2751 8479,$300-750,4,中式料理,18,1365,81,86,80
138,super超好吃炒飯炒麵,111台灣台北市士林區承德路四段40巷34號,4.3,4.3,263,25.0810335,121.5216697,11.76430144,3,+886 2 2885 6960,$1-300,0,中式料理,0,263,86,49,70
