,Name,Address,Rating,User Ratings Total,Latitude,Longitude,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,serves_vegetarian_food,url,Price_level,Unnamed: 17,name,url_tripadvisor,address,phone,rating_trip,type,user_number_trip
10,番紅花城土耳其餐廳,10491台灣台北市中山區南京東路二段60號,4.3,4447,25.051831,121.529944,+886 2 2522 2939,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 11:00 – 22:00,星期日: 11:00 – 22:00,,https://maps.google.com/?cid=17614708431082809416,2,, 番紅花城土耳其餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d8275150-Reviews-Safranbolu_Turkish_Restaurant-Zhongshan_District_Taipei.html,104 台灣 中山區台北 南京东路二段60号,+886 2 2522 2939,4,"義式料理,牛排,酒吧",97
11,田園海鮮餐廳,10491台灣台北市中山區八德路二段174巷5號,4.2,2959,25.0459523,121.5382132,+886 2 2781 5137,星期一: 休息,"星期二: 11:30 – 13:30, 17:30 – 21:30","星期三: 11:30 – 13:30, 17:30 – 21:30","星期四: 11:30 – 13:30, 17:30 – 21:30","星期五: 11:30 – 13:30, 17:30 – 21:30","星期六: 11:30 – 13:30, 17:30 – 21:30","星期日: 11:30 – 13:30, 17:30 – 21:30",,https://maps.google.com/?cid=15866766472480678011,2,,,,,,0,,0
12,Leone Restaurant & Bar,104台灣台北市中山區林森北路353巷20號,4.7,1071,25.0570039,121.5262258,+886 2 2581 3109,星期一: 17:00 – 00:00,星期二: 17:00 – 00:00,星期三: 17:00 – 00:00,星期四: 17:00 – 00:00,星期五: 17:00 – 02:00,星期六: 17:00 – 02:00,星期日: 17:00 – 00:00,,https://maps.google.com/?cid=3849962212163728550,,, Leone Restaurant & Bar,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d21368766-Reviews-Leone_Restaurant_Bar-Zhongshan_District_Taipei.html,"台灣 中山區台北 No. 20, Lane 353, Linsen North Road",+886 2 2581 3109,0,義式料理,0
13,天天利美食坊,108台灣台北市萬華區漢中街32巷1號,4.2,5679,25.0450164,121.5075197,+886 2 2375 6299,星期一: 休息,星期二: 10:30 – 22:30,星期三: 10:30 – 22:30,星期四: 10:30 – 22:30,星期五: 10:30 – 22:30,星期六: 10:30 – 22:30,星期日: 10:30 – 22:30,,https://maps.google.com/?cid=5597686872059367178,1,,,,,,0,,0
14,"馬友友印度清真餐廳 Mayur Indian Kitchen, Halal Restaurant (MIK-8, Zhongxiao E.rd)","台北市大安區忠孝東路四段146巷1號2樓 2F, No. 1, Ln, No. 146忠孝東路四段大安區台北市台灣 106",4.7,1777,25.0413076,121.5497081,+886 2 2711 2067,"星期一: 11:30 – 14:30, 17:00 – 23:00","星期二: 11:30 – 14:30, 17:00 – 23:00","星期三: 11:30 – 14:30, 17:00 – 23:00","星期四: 11:30 – 14:30, 17:00 – 23:00","星期五: 11:30 – 14:30, 17:00 – 23:00","星期六: 11:30 – 15:00, 17:00 – 23:00","星期日: 11:30 – 15:00, 17:00 – 23:00",TRUE,https://maps.google.com/?cid=10488701498776861036,,, 馬友友印度清真餐廳 - 忠孝店,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d17753891-Reviews-Mayur_Indian_Halal_Kitchen_MIK_8_Zhongxiao-Da_an_Taipei.html,106 台灣 大安台北 忠孝东路四段146巷1号 2楼,+886 2 2711 2067,5,"中式料理,異國風味,亞洲料理",33
15,Alma Spanish Restaurant,106台灣台北市大安區東豐街11號,4.4,467,25.0361501,121.5444388,+886 972 336 386,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 22:00","星期三: 11:30 – 14:00, 17:30 – 22:00","星期四: 11:30 – 14:00, 17:30 – 22:00","星期五: 11:30 – 14:00, 17:30 – 22:00","星期六: 11:30 – 14:00, 17:30 – 22:00","星期日: 11:30 – 14:00, 17:30 – 22:00",,https://maps.google.com/?cid=4449827688503207614,,, Alma Spanish Restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d19985944-Reviews-Alma_Spanish_Restaurant-Da_an_Taipei.html,"106 台灣 大安台北 No. 11, Dongfeng Street",+886 972 336 386,4,"義式料理,酒吧,披薩",1
16,馬友友印度廚房 - 大直 Mayur Indian Kitchen restaurant Dazhi (MiK-hi5),104台灣台北市中山區北安路630巷8號,4.6,1245,25.0826568,121.5496831,+886 2 2533 0698,星期一: 休息,"星期二: 11:30 – 15:00, 17:00 – 21:30","星期三: 11:30 – 15:00, 16:30 – 21:30","星期四: 11:30 – 15:00, 16:30 – 21:30","星期五: 11:30 – 15:00, 16:30 – 21:30","星期六: 11:30 – 15:00, 16:30 – 21:30","星期日: 11:30 – 15:00, 16:30 – 21:30",TRUE,https://maps.google.com/?cid=13759362224983939408,2,, 馬友友印度廚房（大直店）,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d10670617-Reviews-Mayur_Indian_Kitchen-Zhongshan_District_Taipei.html,104 台灣 中山區台北 北安路630巷8号 near Marriott Hotel,+886 2 2533 0698,4.5,"中式料理,浙江亞洲料理",321
17,スシロー壽司郎 台北中華路店,100台灣台北市中正區中華路一段41號1樓,4.2,5925,25.0449302,121.5094773,+886 2 2361 2306,星期一: 11:00 – 22:30,星期二: 11:00 – 22:30,星期三: 11:00 – 22:30,星期四: 11:00 – 22:30,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:30,,https://maps.google.com/?cid=17475472368453978626,2,, 壽司郎-台北中華店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808853-d17368809-Reviews-Sushiro-Zhongzheng_District_Taipei.html,100 台灣 中正區台北 中华路一段41号 1楼,+886 2 2361 2306,4,咖啡廳,17
18,TAJ 泰姬印度餐廳 (TAJ Indian Restaurant),106台灣台北市大安區市民大道四段48巷1號,4.6,2662,25.0447362,121.5458423,+886 2 8773 0175,"星期一: 11:30 – 14:30, 17:30 – 22:00",星期二: 休息,"星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",TRUE,https://maps.google.com/?cid=10607116148556621781,2,,,,,,0,,0
19,Malavida,106台灣台北市大安區光復南路280巷48號106079,4.5,467,25.0399655,121.5552257,+886 2 8773 9123,"星期一: 12:00 – 14:00, 18:00 – 22:00",星期二: 休息,"星期三: 12:00 – 14:00, 18:00 – 22:00","星期四: 12:00 – 14:00, 18:00 – 22:00","星期五: 12:00 – 14:00, 18:00 – 22:00","星期六: 12:00 – 14:00, 18:00 – 22:00","星期日: 12:00 – 14:00, 18:00 – 22:00",,https://maps.google.com/?cid=11367770302679363421,,, 馬略卡國際餐飲有限公司,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d23600594-Reviews-MalaVida-Da_an_Taipei.html,106 台灣 大安台北 光复南路280巷48号 1楼,+886 2 8773 9123,0,中式料理,0
20,老朋友小酌熱炒,106台灣台北市大安區安和路二段36號1F,4.7,1909,25.0315441,121.5522477,+886 2 2325 2656,星期一: 17:00 – 00:00,星期二: 17:00 – 00:00,星期三: 17:00 – 00:00,星期四: 17:00 – 00:00,星期五: 17:00 – 00:00,星期六: 17:00 – 00:00,星期日: 17:00 – 00:00,FALSE,https://maps.google.com/?cid=18042055552861854600,2,,,,,,0,,0
21,龍都酒樓,10491台灣台北市中山區中山北路一段105巷18-1號,4.2,6826,25.0503539,121.5244483,+886 2 2563 9293,"星期一: 11:30 – 14:30, 17:30 – 21:30","星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:20 – 12:50, 13:10 – 14:30, 17:30 – 19:10, 19:30 – 21:30","星期日: 11:20 – 12:50, 13:10 – 14:30, 17:30 – 19:10, 19:30 – 21:30",,https://maps.google.com/?cid=3858098876205658435,3,,,,,,0,,0
22,喆園餐廳,104台灣台北市中山區建國北路一段80號,4.4,746,25.049464,121.5362676,+886 2 2506 6118,"星期一: 11:30 – 14:30, 17:30 – 22:00","星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",,https://maps.google.com/?cid=9700170831001205117,3,, 喆園餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d6151785-Reviews-Zhe_Yuan_Restaurant-Zhongshan_District_Taipei.html,"台灣 中山區台北 No. 80, Sec. 1, Jianguo N. Rd., Zhongshan Dist",+886 2 2506 6118,4.5,"義式料理,酒吧,披薩",12
23,The Adlon Restaurant & Bar,"1F, No. 100安和路二段大安區台北市台灣 106",4.1,41,25.0285007,121.5499703,+886 2 2325 4433,星期一: 11:00 – 02:00,星期二: 11:00 – 02:00,星期三: 11:00 – 02:00,星期四: 11:00 – 02:00,星期五: 11:00 – 02:00,星期六: 09:00 – 02:00,星期日: 09:00 – 02:00,,https://maps.google.com/?cid=6031725988267021854,,, Adlon Bar And Restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g293913-d25322837-Reviews-Adlon_Bar_And_Restaurant-Taipei.html,台灣 台北 100 Section 2 Daan Road,+886 2 2325 4433,5,中式料理浙江亞洲料理,1
24,特奥蒂瓦坎,106台灣台北市大安區安和路一段21巷9號,4,960,25.0395286,121.5504677,+886 2 2708 1141,星期一: 11:30 – 21:30,星期二: 11:30 – 21:30,星期三: 11:30 – 21:30,星期四: 11:30 – 21:30,星期五: 11:30 – 23:00,星期六: 11:30 – 23:00,星期日: 11:30 – 22:00,TRUE,https://maps.google.com/?cid=4793534583044569807,2,, Teotihuacán 特奧蒂瓦坎 墨西哥料理,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12543577-Reviews-Teotihuacan_Fine_Mexican_Cuisine-Da_an_Taipei.html,106 台灣 大安台北 大安区建国南路二段123巷10号 Zhongxiao Dunhua Exit 4,+886 2 2708 1141,4.5,咖啡廳,8
25,坦都餐廳有限公司,10491台灣台北市中山區合江街73巷10號,4.7,1425,25.0586505,121.5400965,+886 2 2509 9853,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 21:30","星期三: 11:30 – 14:00, 17:30 – 21:30","星期四: 11:30 – 14:00, 17:30 – 21:30","星期五: 11:30 – 14:00, 17:30 – 21:30","星期六: 11:30 – 14:00, 17:30 – 21:30","星期日: 11:30 – 14:00, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=4672681163749205917,,, 坦都印度餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d5989932-Reviews-Tandoor_Indian_Restaurant-Zhongshan_District_Taipei.html,10491 台灣 中山區台北 合江街73巷10号,+886 2 2509 9853,4.5,燒烤,33
26,Gustoso Italian Restaurant,10685台灣台北市大安區敦化南路1段331號2樓,4.2,393,25.034039,121.5492699,+886 2 7726 9099,星期一: 06:30 – 22:00,星期二: 06:30 – 22:00,星期三: 06:30 – 22:00,星期四: 06:30 – 22:00,星期五: 06:30 – 22:00,星期六: 06:30 – 22:00,星期日: 06:30 – 22:00,,https://maps.google.com/?cid=12935769464317724726,,, Gustoso 義大利餐廳-慕軒飯店,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d7621952-Reviews-Gustoso_Italian_Restaurant_Madison_Taipei_Hotel-Da_an_Taipei.html,"10685 台灣 大安台北 No. 331, Section 1, Dunhua South Road, Daan District",+886 2 7726 9099,4.5,印度料理亞洲料理提供素食選擇,295
27,哦耶！旁遮普印度餐廳,106台灣台北市大安區延吉街121號,4.9,5305,25.0427409,121.5542369,+886 2 2775 2065,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",,https://maps.google.com/?cid=497952784753788254,2,, 哦耶！旁遮普,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12412066-Reviews-Oye_Punjabi_Indian_Restaurant-Da_an_Taipei.html,106 台灣 大安台北 大安区延吉街121号1楼,+886 2 2775 2065,4.5,,56
28,ULV Restaurant and Bar,10691台灣台北市大安區敦化南路一段160巷18號一樓,4.5,426,25.0434408,121.5476453,+886 2 8771 0828,星期一: 休息,"星期二: 12:00 – 14:30, 18:00 – 22:00","星期三: 12:00 – 14:30, 18:00 – 22:00","星期四: 12:00 – 14:30, 18:00 – 22:00","星期五: 12:00 – 14:30, 18:00 – 22:00","星期六: 12:00 – 14:30, 18:00 – 22:00","星期日: 12:00 – 14:30, 18:00 – 22:00",,https://maps.google.com/?cid=15617989313500541572,,,,,,,0,,0
29,Restaurant Page 頁小館,10463台灣台北市中山區北安路595巷20弄4號1樓,4.6,1569,25.08184,121.547774,+886 2 2532 8003,"星期一: 11:30 – 14:30, 17:30 – 21:00","星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=15360146453359379430,2,,,,,,0,,0
30,スシロー壽司郎 台北館前路店,100台灣台北市中正區館前路8號2樓,4.1,6692,25.0458267,121.5147169,+886 2 2361 2638,星期一: 11:00 – 22:30,星期二: 11:00 – 22:30,星期三: 11:00 – 22:30,星期四: 11:00 – 22:30,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:30,,https://maps.google.com/?cid=7468931488262845109,2,, 壽司郎 - 台灣旗艦店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808853-d14208558-Reviews-Sushiro_Taiwan_Flagship_Restaurant-Zhongzheng_District_Taipei.html,100 台灣 中正區台北 馆前路8号 2楼,+886 2 2361 2638,4,義式料理健康料理,59
31,月之義大利餐廳,106台灣台北市大安區敦化南路二段265巷3號,4.4,900,25.0254867,121.5494205,+886 2 2733 9635,"星期一: 11:30 – 14:40, 17:45 – 22:00","星期二: 11:30 – 14:40, 17:45 – 22:00","星期三: 11:30 – 14:40, 17:45 – 22:00","星期四: 11:30 – 14:40, 17:45 – 22:00","星期五: 11:30 – 14:40, 17:45 – 22:00","星期六: 11:30 – 14:40, 17:45 – 22:00","星期日: 11:30 – 14:40, 17:45 – 22:00",TRUE,https://maps.google.com/?cid=1589845464812277502,2,, Luna D'italia restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d3809479-Reviews-Luna_D_italia_restaurant-Da_an_Taipei.html,台灣 大安台北 大安区敦化南路二段265巷3号,+886 2 2733 9635,4,義式料理健康料理,34
32,圓山大飯店-金龍餐廳,10491台灣台北市中山區中山北路四段1號,4.3,1489,25.0791209,121.5269322,+886 2 2886 1818,"星期一: 11:30 – 14:30, 18:00 – 22:00","星期二: 11:30 – 14:30, 18:00 – 22:00","星期三: 11:30 – 14:30, 18:00 – 22:00","星期四: 11:30 – 14:30, 18:00 – 22:00","星期五: 11:30 – 14:30, 18:00 – 22:00","星期六: 07:30 – 14:30, 18:00 – 22:00","星期日: 07:30 – 14:30, 18:00 – 22:00",,https://maps.google.com/?cid=17737925072873533850,3,,,,,,0,,0
33,籌學費餐廳,110台灣台北市信義區光復南路417巷37號,4.5,488,25.0369568,121.557991,+886 2 2345 1398,星期一: 休息,星期二: 17:30 – 00:00,星期三: 17:30 – 00:00,星期四: 17:30 – 00:00,星期五: 17:30 – 01:00,星期六: 17:30 – 01:00,星期日: 12:00 – 20:00,,https://maps.google.com/?cid=1140287619445676510,2,, 籌學費美式餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d10832453-Reviews-Pay_My_Tuition_Restaurant-Xinyi_District_Taipei.html,110 台灣 信義區台北 信义区光复南路417巷37号 1楼,+886 2 2345 1398,5,中式料理咖啡廳,1
34,Lulu Restaurant,105台灣台北市松山區民生東路三段113巷9號,4.3,1348,25.0585624,121.5462619,+886 2 2713 2250,星期一: 11:30 – 22:00,星期二: 11:30 – 22:00,星期三: 11:30 – 22:00,星期四: 11:30 – 22:00,星期五: 11:30 – 22:00,星期六: 11:30 – 22:00,星期日: 11:30 – 22:00,,https://maps.google.com/?cid=14968468533031037856,2,, LULU餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d6133754-Reviews-Lulu_Restaurant-Songshan_Taipei.html,"台灣 松山台北 No. 9, Ln. 113, Sec. 3, Minsheng E. Rd., Songshan Dist",+886 2 2713 2250,4.5,日式料理海鮮亞洲料理,53
35,花娘小館,105台灣台北市松山区敦化北路165巷9號1樓,4.3,679,25.0548637,121.5505647,+886 2 2718 4469,"星期一: 11:30 – 14:30, 17:30 – 22:00","星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",,https://maps.google.com/?cid=17779556962795561145,2,, 花娘小館,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d12926200-Reviews-Flower_Restaurant-Songshan_Taipei.html,105 台灣 松山台北 松山区敦化北路165巷15号,+886 2 2718 4469,4,酒吧咖啡廳快餐,4
36,山海樓,100台灣台北市中正區仁愛路二段94號,4.1,1631,25.0379808,121.5314068,+886 2 2351 3345,"星期一: 12:00 – 14:30, 18:00 – 22:00","星期二: 12:00 – 14:30, 18:00 – 22:00","星期三: 12:00 – 14:30, 18:00 – 22:00","星期四: 12:00 – 14:30, 18:00 – 22:00","星期五: 12:00 – 14:30, 18:00 – 22:00","星期六: 12:00 – 14:30, 18:00 – 22:00","星期日: 12:00 – 14:30, 18:00 – 22:00",,https://maps.google.com/?cid=12882637900817705984,4,,,,,,0,,0
37,Casanova Osteria & Bar,"1樓, No. 12號忠孝東路四段170巷6弄大安區台北市台灣 10688",4.8,249,25.0408028,121.5502044,+886 2 2771 2680,星期一: 休息,星期二: 休息,星期三: 17:30 – 23:00,星期四: 17:30 – 23:00,星期五: 17:30 – 23:00,星期六: 17:30 – 23:00,星期日: 17:30 – 23:00,TRUE,https://maps.google.com/?cid=16876390437707843788,,,,,,,0,,0
38,くら寿司 藏壽司 台北館前店,100台灣台北市中正區館前路12號5樓,4.2,9170,25.0456068,121.5147159,+886 2 2331 6029,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 10:30 – 22:00,星期日: 10:30 – 22:00,,https://maps.google.com/?cid=14425020235779465369,2,, 藏壽司 - 台北館前店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808853-d12644953-Reviews-Kura_Sushi_Taipei_Guanqian_Shop-Zhongzheng_District_Taipei.html,100 台灣 中正區台北 馆前路12号5楼 中正区,+886 2 2331 6029,4,日式料理壽司亞洲料理,63
