,Name,Address,Rating,User Ratings Total,Latitude,Longitude,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,serves_vegetarian_food,url_googlemap,Price_level,name,url_tripadvisor,address,phone,rating_trip,type,user_number_trip
10,Leone Restaurant & Bar,104台灣台北市中山區林森北路353巷20號,4.7,1071,25.0570039,121.5262258,+886 2 2581 3109,星期一: 17:00 – 00:00,星期二: 17:00 – 00:00,星期三: 17:00 – 00:00,星期四: 17:00 – 00:00,星期五: 17:00 – 02:00,星期六: 17:00 – 02:00,星期日: 17:00 – 00:00,,https://maps.google.com/?cid=3849962212163728550,, Leone Restaurant & Bar,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d21368766-Reviews-Leone_Restaurant_Bar-Zhongshan_District_Taipei.html,"台灣 中山區台北 No. 20, Lane 353, Linsen North Road",+886 2 2581 3109,,義式料理,0
11,"馬友友印度清真餐廳 Mayur Indian Kitchen, Halal Restaurant (MIK-8, Zhongxiao E.rd)","台北市大安區忠孝東路四段146巷1號2樓 2F, No. 1, Ln, No. 146忠孝東路四段大安區台北市台灣 106",4.7,1777,25.0413076,121.5497081,+886 2 2711 2067,"星期一: 11:30 – 14:30, 17:00 – 23:00","星期二: 11:30 – 14:30, 17:00 – 23:00","星期三: 11:30 – 14:30, 17:00 – 23:00","星期四: 11:30 – 14:30, 17:00 – 23:00","星期五: 11:30 – 14:30, 17:00 – 23:00","星期六: 11:30 – 15:00, 17:00 – 23:00","星期日: 11:30 – 15:00, 17:00 – 23:00",TRUE,https://maps.google.com/?cid=10488701498776861036,2, 馬友友印度清真餐廳 - 忠孝店,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d17753891-Reviews-Mayur_Indian_Halal_Kitchen_MIK_8_Zhongxiao-Da_an_Taipei.html,106 台灣 大安台北 忠孝东路四段146巷1号 2楼,+886 2 2711 2067,5,"中式料理,異國風味,亞洲料理",33
12,Alma Spanish Restaurant,106台灣台北市大安區東豐街11號,4.4,467,25.0361501,121.5444388,+886 972 336 386,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 22:00","星期三: 11:30 – 14:00, 17:30 – 22:00","星期四: 11:30 – 14:00, 17:30 – 22:00","星期五: 11:30 – 14:00, 17:30 – 22:00","星期六: 11:30 – 14:00, 17:30 – 22:00","星期日: 11:30 – 14:00, 17:30 – 22:00",,https://maps.google.com/?cid=4449827688503207614,, Alma Spanish Restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d19985944-Reviews-Alma_Spanish_Restaurant-Da_an_Taipei.html,"106 台灣 大安台北 No. 11, Dongfeng Street",+886 972 336 386,4,"義式料理,酒吧,披薩",1
13,馬友友印度廚房 - 大直 Mayur Indian Kitchen restaurant Dazhi (MiK-hi5),104台灣台北市中山區北安路630巷8號,4.6,1245,25.0826568,121.5496831,+886 2 2533 0698,星期一: 休息,"星期二: 11:30 – 15:00, 17:00 – 21:30","星期三: 11:30 – 15:00, 16:30 – 21:30","星期四: 11:30 – 15:00, 16:30 – 21:30","星期五: 11:30 – 15:00, 16:30 – 21:30","星期六: 11:30 – 15:00, 16:30 – 21:30","星期日: 11:30 – 15:00, 16:30 – 21:30",TRUE,https://maps.google.com/?cid=13759362224983939408,2, 馬友友印度廚房（大直店）,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d10670617-Reviews-Mayur_Indian_Kitchen-Zhongshan_District_Taipei.html,104 台灣 中山區台北 北安路630巷8号 near Marriott Hotel,+886 2 2533 0698,4.5,"中式料理,浙江亞洲料理",321
15,スシロー壽司郎 台北中華路店,100台灣台北市中正區中華路一段41號1樓,4.2,5925,25.0449302,121.5094773,+886 2 2361 2306,星期一: 11:00 – 22:30,星期二: 11:00 – 22:30,星期三: 11:00 – 22:30,星期四: 11:00 – 22:30,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:30,,https://maps.google.com/?cid=17475472368453978626,2, 壽司郎-台北中華店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808853-d17368809-Reviews-Sushiro-Zhongzheng_District_Taipei.html,100 台灣 中正區台北 中华路一段41号 1楼,+886 2 2361 2306,4,咖啡廳,17
16,Malavida,106台灣台北市大安區光復南路280巷48號106079,4.5,467,25.0399655,121.5552257,+886 2 8773 9123,"星期一: 12:00 – 14:00, 18:00 – 22:00",星期二: 休息,"星期三: 12:00 – 14:00, 18:00 – 22:00","星期四: 12:00 – 14:00, 18:00 – 22:00","星期五: 12:00 – 14:00, 18:00 – 22:00","星期六: 12:00 – 14:00, 18:00 – 22:00","星期日: 12:00 – 14:00, 18:00 – 22:00",,https://maps.google.com/?cid=11367770302679363421,, 馬略卡國際餐飲有限公司,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d23600594-Reviews-MalaVida-Da_an_Taipei.html,106 台灣 大安台北 光复南路280巷48号 1楼,+886 2 8773 9123,,中式料理,0
17,喆園餐廳,104台灣台北市中山區建國北路一段80號,4.4,746,25.049464,121.5362676,+886 2 2506 6118,"星期一: 11:30 – 14:30, 17:30 – 22:00","星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",,https://maps.google.com/?cid=9700170831001205117,3, 喆園餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d6151785-Reviews-Zhe_Yuan_Restaurant-Zhongshan_District_Taipei.html,"台灣 中山區台北 No. 80, Sec. 1, Jianguo N. Rd., Zhongshan Dist",+886 2 2506 6118,4.5,"義式料理,酒吧,披薩",12
18,The Adlon Restaurant & Bar,"1F, No. 100安和路二段大安區台北市台灣 106",4.1,41,25.0285007,121.5499703,+886 2 2325 4433,星期一: 11:00 – 02:00,星期二: 11:00 – 02:00,星期三: 11:00 – 02:00,星期四: 11:00 – 02:00,星期五: 11:00 – 02:00,星期六: 09:00 – 02:00,星期日: 09:00 – 02:00,,https://maps.google.com/?cid=6031725988267021854,, Adlon Bar And Restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g293913-d25322837-Reviews-Adlon_Bar_And_Restaurant-Taipei.html,台灣 台北 100 Section 2 Daan Road,+886 2 2325 4433,5,中式料理浙江亞洲料理,1
19,特奥蒂瓦坎,106台灣台北市大安區安和路一段21巷9號,4,960,25.0395286,121.5504677,+886 2 2708 1141,星期一: 11:30 – 21:30,星期二: 11:30 – 21:30,星期三: 11:30 – 21:30,星期四: 11:30 – 21:30,星期五: 11:30 – 23:00,星期六: 11:30 – 23:00,星期日: 11:30 – 22:00,TRUE,https://maps.google.com/?cid=4793534583044569807,2, Teotihuacán 特奧蒂瓦坎 墨西哥料理,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12543577-Reviews-Teotihuacan_Fine_Mexican_Cuisine-Da_an_Taipei.html,106 台灣 大安台北 大安区建国南路二段123巷10号 Zhongxiao Dunhua Exit 4,+886 2 2708 1141,4.5,咖啡廳,8
20,坦都餐廳有限公司,10491台灣台北市中山區合江街73巷10號,4.7,1425,25.0586505,121.5400965,+886 2 2509 9853,星期一: 休息,"星期二: 11:30 – 14:00, 17:30 – 21:30","星期三: 11:30 – 14:00, 17:30 – 21:30","星期四: 11:30 – 14:00, 17:30 – 21:30","星期五: 11:30 – 14:00, 17:30 – 21:30","星期六: 11:30 – 14:00, 17:30 – 21:30","星期日: 11:30 – 14:00, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=4672681163749205917,2, 坦都印度餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d5989932-Reviews-Tandoor_Indian_Restaurant-Zhongshan_District_Taipei.html,10491 台灣 中山區台北 合江街73巷10号,+886 2 2509 9853,4.5,燒烤,33
21,Gustoso Italian Restaurant,10685台灣台北市大安區敦化南路1段331號2樓,4.2,393,25.034039,121.5492699,+886 2 7726 9099,星期一: 06:30 – 22:00,星期二: 06:30 – 22:00,星期三: 06:30 – 22:00,星期四: 06:30 – 22:00,星期五: 06:30 – 22:00,星期六: 06:30 – 22:00,星期日: 06:30 – 22:00,,https://maps.google.com/?cid=12935769464317724726,2, Gustoso 義大利餐廳-慕軒飯店,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d7621952-Reviews-Gustoso_Italian_Restaurant_Madison_Taipei_Hotel-Da_an_Taipei.html,"10685 台灣 大安台北 No. 331, Section 1, Dunhua South Road, Daan District",+886 2 7726 9099,4.5,印度料理亞洲料理提供素食選擇,295
22,哦耶！旁遮普印度餐廳,106台灣台北市大安區延吉街121號,4.9,5305,25.0427409,121.5542369,+886 2 2775 2065,星期一: 休息,"星期二: 11:30 – 14:30, 17:30 – 21:30","星期三: 11:30 – 14:30, 17:30 – 21:30","星期四: 11:30 – 14:30, 17:30 – 21:30","星期五: 11:30 – 14:30, 17:30 – 21:30","星期六: 11:30 – 14:30, 17:30 – 21:30","星期日: 11:30 – 14:30, 17:30 – 21:30",,https://maps.google.com/?cid=497952784753788254,2, 哦耶！旁遮普,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12412066-Reviews-Oye_Punjabi_Indian_Restaurant-Da_an_Taipei.html,106 台灣 大安台北 大安区延吉街121号1楼,+886 2 2775 2065,4.5,,56
23,スシロー壽司郎 台北館前路店,100台灣台北市中正區館前路8號2樓,4.1,6692,25.0458267,121.5147169,+886 2 2361 2638,星期一: 11:00 – 22:30,星期二: 11:00 – 22:30,星期三: 11:00 – 22:30,星期四: 11:00 – 22:30,星期五: 11:00 – 22:30,星期六: 11:00 – 22:30,星期日: 11:00 – 22:30,,https://maps.google.com/?cid=7468931488262845109,2, 壽司郎 - 台灣旗艦店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808853-d14208558-Reviews-Sushiro_Taiwan_Flagship_Restaurant-Zhongzheng_District_Taipei.html,100 台灣 中正區台北 馆前路8号 2楼,+886 2 2361 2638,4,義式料理健康料理,59
24,月之義大利餐廳,106台灣台北市大安區敦化南路二段265巷3號,4.4,900,25.0254867,121.5494205,+886 2 2733 9635,"星期一: 11:30 – 14:40, 17:45 – 22:00","星期二: 11:30 – 14:40, 17:45 – 22:00","星期三: 11:30 – 14:40, 17:45 – 22:00","星期四: 11:30 – 14:40, 17:45 – 22:00","星期五: 11:30 – 14:40, 17:45 – 22:00","星期六: 11:30 – 14:40, 17:45 – 22:00","星期日: 11:30 – 14:40, 17:45 – 22:00",TRUE,https://maps.google.com/?cid=1589845464812277502,2, Luna D'italia restaurant,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d3809479-Reviews-Luna_D_italia_restaurant-Da_an_Taipei.html,台灣 大安台北 大安区敦化南路二段265巷3号,+886 2 2733 9635,4,義式料理健康料理,34
26,籌學費餐廳,110台灣台北市信義區光復南路417巷37號,4.5,488,25.0369568,121.557991,+886 2 2345 1398,星期一: 休息,星期二: 17:30 – 00:00,星期三: 17:30 – 00:00,星期四: 17:30 – 00:00,星期五: 17:30 – 01:00,星期六: 17:30 – 01:00,星期日: 12:00 – 20:00,,https://maps.google.com/?cid=1140287619445676510,2, 籌學費美式餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d10832453-Reviews-Pay_My_Tuition_Restaurant-Xinyi_District_Taipei.html,110 台灣 信義區台北 信义区光复南路417巷37号 1楼,+886 2 2345 1398,5,中式料理咖啡廳,1
27,Lulu Restaurant,105台灣台北市松山區民生東路三段113巷9號,4.3,1348,25.0585624,121.5462619,+886 2 2713 2250,星期一: 11:30 – 22:00,星期二: 11:30 – 22:00,星期三: 11:30 – 22:00,星期四: 11:30 – 22:00,星期五: 11:30 – 22:00,星期六: 11:30 – 22:00,星期日: 11:30 – 22:00,,https://maps.google.com/?cid=14968468533031037856,2, LULU餐廳,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d6133754-Reviews-Lulu_Restaurant-Songshan_Taipei.html,"台灣 松山台北 No. 9, Ln. 113, Sec. 3, Minsheng E. Rd., Songshan Dist",+886 2 2713 2250,4.5,日式料理海鮮亞洲料理,53
28,花娘小館,105台灣台北市松山区敦化北路165巷9號1樓,4.3,679,25.0548637,121.5505647,+886 2 2718 4469,"星期一: 11:30 – 14:30, 17:30 – 22:00","星期二: 11:30 – 14:30, 17:30 – 22:00","星期三: 11:30 – 14:30, 17:30 – 22:00","星期四: 11:30 – 14:30, 17:30 – 22:00","星期五: 11:30 – 14:30, 17:30 – 22:00","星期六: 11:30 – 14:30, 17:30 – 22:00","星期日: 11:30 – 14:30, 17:30 – 22:00",,https://maps.google.com/?cid=17779556962795561145,2, 花娘小館,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d12926200-Reviews-Flower_Restaurant-Songshan_Taipei.html,105 台灣 松山台北 松山区敦化北路165巷15号,+886 2 2718 4469,4,酒吧咖啡廳快餐,4
30,くら寿司 藏壽司 台北館前店,100台灣台北市中正區館前路12號5樓,4.2,9170,25.0456068,121.5147159,+886 2 2331 6029,星期一: 11:00 – 22:00,星期二: 11:00 – 22:00,星期三: 11:00 – 22:00,星期四: 11:00 – 22:00,星期五: 11:00 – 22:00,星期六: 10:30 – 22:00,星期日: 10:30 – 22:00,,https://maps.google.com/?cid=14425020235779465369,2, 藏壽司 - 台北館前店,https://www.tripadvisor.com.tw/Restaurant_Review-g13808853-d12644953-Reviews-Kura_Sushi_Taipei_Guanqian_Shop-Zhongzheng_District_Taipei.html,100 台灣 中正區台北 馆前路12号5楼 中正区,+886 2 2331 6029,4,日式料理壽司亞洲料理,63
31,非常泰 - 復興店,105台灣台北市松山區復興北路319號,4.2,1127,25.0591667,121.5444444,+886 2 2546 6745,"星期一: 11:30 – 14:30, 17:30 – 02:00","星期二: 11:30 – 14:30, 17:30 – 02:00","星期三: 11:30 – 14:30, 17:30 – 02:00","星期四: 11:30 – 14:30, 17:30 – 02:00","星期五: 11:30 – 14:30, 17:30 – 02:00","星期六: 11:30 – 15:00, 17:30 – 02:00","星期日: 11:30 – 15:00, 17:30 – 02:00",,https://maps.google.com/?cid=4635337713933245270,2, 非常泰-復興店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806900-d1132589-Reviews-Very_Thai_Restaurant_Fuxing_Store-Songshan_Taipei.html,105 台灣 松山台北 复兴北路319号,+886 2 2546 6745,4,泰式料理,139
32,爭鮮迴轉壽司-林森店,10491台灣台北市中山區中山北路二段45巷35號1F,4,3388,25.0544897,121.524814,+886 2 2521 5117,星期一: 11:00 – 05:30,星期二: 11:00 – 05:30,星期三: 11:00 – 05:30,星期四: 11:00 – 05:30,星期五: 11:00 – 05:30,星期六: 11:00 – 05:30,星期日: 11:00 – 05:30,,https://maps.google.com/?cid=18417162595638962660,1, 爭鮮迴轉壽司,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d8687114-Reviews-Sushi_Express-Zhongshan_District_Taipei.html,104 台灣 中山區台北 中山區長春路40號2F,+886 2 2521 5117,4,日式料理海鮮燒烤,23
33,饗食天堂 台北京站店,103台灣台北市大同區承德路一段1號京站時尚廣場4樓,4,4701,25.049308,121.5171935,+886 2 6617 1168,"星期一: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期二: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期三: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期四: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期五: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期六: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30","星期日: 11:30 – 14:00, 14:30 – 16:30, 17:30 – 21:30",TRUE,https://maps.google.com/?cid=3070305487468032646,3, 饗食天堂台北京站店,https://www.tripadvisor.com.tw/Restaurant_Review-g13806451-d2553336-Reviews-Eatogether_Q_Square-Datong_Taipei.html,103 台灣 大同台北 承德路一段1号4F 4F,+886 2 6617 1168,4,現釀啤酒吧拉丁料理酒吧,101
36,星期五美式餐廳（美麗華）,10491台灣台北市中山區敬業三路22號2樓,4.2,2153,25.0836081,121.5572275,+886 2 2175 3358,星期一: 11:00 – 00:00,星期二: 11:00 – 00:00,星期三: 11:00 – 00:00,星期四: 11:00 – 00:00,星期五: 11:00 – 00:00,星期六: 11:00 – 00:00,星期日: 11:00 – 00:00,,https://maps.google.com/?cid=6242177921935044667,2, TGI Fridays 星期五餐廳 美麗華店,https://www.tripadvisor.com.tw/Restaurant_Review-g293913-d7975385-Reviews-TGI_Fridays_Miramar-Taipei.html,"104 台灣 台北 Miramar Entertainment Park, No. 22, Jingye 3rd Road, Zhongshan Dist. 2F, Miramar Entertainment Park",+886 2 2175 3358,4,中式料理亞洲料理熟食,518
38,小林海產,106台灣台北市大安區光復南路574-1號,4.2,2082,25.0340425,121.5571779,+886 2 2325 4930,星期一: 17:00 – 01:00,星期二: 17:00 – 01:00,星期三: 17:00 – 01:00,星期四: 17:00 – 01:00,星期五: 17:00 – 01:00,星期六: 17:00 – 01:00,星期日: 休息,FALSE,https://maps.google.com/?cid=4730455200188102284,2, 小林海產,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10522413-Reviews-Xiaolin_Haichan-Da_an_Taipei.html,10695 台灣 大安台北 大安区光复南路574-1号,+886 2 2325 4930,4,燒烤,14
39,CLOSET衣櫥餐酒館 Restaurant & bar Bistro 異國料理 東區美食,106台灣台北市大安區忠孝東路四段101巷15號,4.3,1044,25.0425138,121.5481451,+886 2 2731 7919,星期一: 18:00 – 02:00,星期二: 18:00 – 02:00,星期三: 18:00 – 02:00,星期四: 18:00 – 02:00,星期五: 18:00 – 02:00,星期六: 18:00 – 02:00,星期日: 18:00 – 02:00,,https://maps.google.com/?cid=11317207201845607040,3, 衣櫥餐酒,https://www.tripadvisor.com.tw/Restaurant_Review-g293913-d9995154-Reviews-Closet_Restaurant_Bar-Taipei.html,106 台灣 台北 大安区忠孝东路四段101巷15号,+886 2 2731 7919,4,義式料理美式料理披薩,70
40,V&O BAR AND KITCHEN東地中海料理&酒吧,104台灣台北市中山區中山北路二段27巷1號,4.8,178,25.0532509,121.5231554,+886 2 2531 0595,星期一: 休息,星期二: 18:30 – 00:00,星期三: 18:30 – 00:00,星期四: 18:30 – 00:00,星期五: 18:30 – 02:00,星期六: 18:30 – 02:00,星期日: 休息,TRUE,https://maps.google.com/?cid=5495430239914503857,, V&O Bar.kitchen by TalYah,https://www.tripadvisor.com.tw/Restaurant_Review-g13808671-d23299205-Reviews-V_O_Bar_kitchen_by_TalYah-Zhongshan_District_Taipei.html,台灣 中山區台北 中山北路二段27巷1号,+886 2 2531 0595,,美式料理美國南方料理亞洲料理,0
41,Namaste Indian Restaurant,106台灣台北市大安區安和路二段180號,4.4,382,25.0251882,121.550026,+886 2 2736 3733,"星期一: 11:00 – 14:30, 17:00 – 21:30","星期二: 11:00 – 14:30, 17:00 – 21:30","星期三: 11:00 – 14:30, 17:00 – 21:30","星期四: 11:00 – 14:30, 17:00 – 21:30","星期五: 11:00 – 14:30, 17:00 – 21:30","星期六: 11:00 – 14:30, 17:00 – 21:30","星期日: 11:00 – 14:30, 17:00 – 21:30",,https://maps.google.com/?cid=13556870216445173565,2, 4 Spices 印度美食,https://www.tripadvisor.com.tw/Restaurant_Review-g13808515-d11549956-Reviews-Namaste_Indian_Restaurant-Xinyi_District_Taipei.html,106 台灣 信義區台北 信义区逸仙路42巷19号1楼,+886 2 2736 3733,4.5,中式料理,14
